date,PERMNO,DLRETX,DLPRC,DLRET,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX,Price,Open,High,Low,PRC_orcl,PRC_intc,PRC_infy,daily_return,log_volume,changeVolume01,changePrice01,changeVolume50,changePrice50,MovAvofV5days,Mov5Price,MovAvofV200days,MovAvof50daysPrice,percentile,rateofchange,sign,plus_minus,rateofchangePrice,signprice,money_flow_index,AO,KAMA,rsi,stochastic,TSI,ultimate,williamsR
2000-01-03,12490,,,,111.875,115.8125,115.625,10346799,0.07184199999999999,115.0,116.5,1802604,112.4375,,0.07184199999999999,99.89,101.39,101.57,99.85,118.125,87.0,369.125,0.028349082823790894,16.152187754477847,,,,,,,,0.0,,,,,,,,0.0,,,2100.0,-100.0,21.745394062627387,-4.761904761904762
2000-01-04,12490,,,,110.875,114.5,112.0625,8227799,-0.030811,111.0,113.0,1802604,114.0,,-0.030811,100.1,100.18,100.37,99.7,107.6875,82.9375,372.0,-0.016995614035087758,15.923029100676821,-0.22915865380102574,-3.5625,,,,,,-0.015338316135161567,,-0.014187468427457883,-1.0,,-0.03081081081081083,-1.0,,0.0,,0.0,-322.22222222222223,-100.0,22.448251814079036,-75.9493670886076
2000-01-05,12490,,,,112.125,119.75,116.0,12732699,0.035137,118.0,119.0,1802604,112.9375,,0.035137,100.05,100.09,100.16,99.4,102.0,83.625,369.0,0.027116768123962354,16.35968396691387,0.4366548662370491,3.9375,,,,,,0.012497660911302333,,0.027422851737329834,1.0,,0.03513664249860571,1.0,,0.0,,54.3438077634011,-158.33333333333334,-89.6406404088825,29.899741121679533,-42.25352112676056
2000-01-06,12490,,,,113.5,118.9375,115.0,7970599,-0.008621,114.0,116.0,1802604,118.0,,-0.008621,100.34,100.05,100.48,99.6,96.0,78.75,330.0,-0.025423728813559365,15.891270204780406,-0.46841376213346386,-1.0,,,,,,0.002766881899655793,,-0.02863220115258902,-1.0,,-0.008620689655172376,-1.0,,0.0,,47.31173922013617,-66.66666666666667,-84.7546269442599,29.541545473671327,-53.521126760563384
2000-01-07,12490,,,,110.625,117.9375,113.5,11856699,-0.013043,113.25,113.75,1802604,117.25,,-0.013043,100.5,100.18,100.7,100.16,103.375,82.0,353.0,-0.031982942430703654,16.28840358226996,0.39713337748955446,-1.5,,,2.7802415471472237,114.4375,,-0.008099983406144595,,0.024990662947137476,1.0,,-0.013043478260869601,-1.0,,0.0,,39.13197571086159,-258.3333333333333,-81.99345690767133,31.22604193499603,-68.4931506849315
2000-01-10,12490,,,,115.375,119.375,118.5,8540399,0.044052999999999995,118.5,119.5,1802604,117.25,,0.044052999999999995,100.65,100.36,100.91,100.4,115.75,85.75,358.0,0.010660980810234477,15.96031828598482,-0.32808529628514016,5.0,,,2.7778586261294023,115.0125,,0.028865798863572323,,-0.020142262231411245,-1.0,,0.044052863436123246,1.0,,0.24270833333332575,,62.44183422484615,21.875,-75.33563938573383,37.7787883802654,-13.698630136986301
2000-01-11,12490,,,,116.625,121.125,118.875,7873099,0.003165,118.5,119.5,1802604,117.875,,0.003165,100.26,100.65,100.77,100.16,112.375,89.6875,337.0,0.008483563096500557,15.878962316709671,-0.08135596927514932,0.375,,,2.777310536367067,116.375,,0.026825917025794066,,-0.005097390153339876,-1.0,,0.0031645569620253333,1.0,,0.9348214285714249,,63.568697127903995,48.57142857142857,-70.39175145480337,38.82022036911946,-21.428571428571427
2000-01-12,12490,,,,118.25,122.0,119.625,6798099,0.006309,119.625,120.125,1802604,119.625,,0.006309,100.33,100.24,100.61,99.94,105.625,91.25,331.0,0.0,15.732153572238953,-0.146808744470718,0.75,,,2.7694727220745836,117.1,,0.02840021692082262,,-0.009245487302166344,-1.0,,0.006309148264984188,1.0,,1.20703125,,65.7800629484996,73.17073170731707,-66.21176756655339,42.92171516935148,-20.87912087912088
2000-01-13,12490,,,,115.75,121.0,118.25,8489699,-0.011493999999999999,117.75,118.75,1802604,119.9375,,-0.011493999999999999,100.67,100.3,100.88,100.33,105.0625,91.0625,318.0,-0.014069828035435106,15.954364104184364,0.22221053194541085,-1.375,,,2.77026354437502,117.75,,0.014398201179169456,,0.014124609890506346,1.0,,-0.011494252873563204,-1.0,,1.3930555555555628,,58.740442824237036,24.390243902439025,-63.12530735170334,44.80017837979377,-32.967032967032964
2000-01-14,12490,,,,117.5,123.3125,119.625,10956599,0.011628,119.125,120.625,1802604,120.9375,,0.011628,101.45,100.65,101.74,100.67,106.8125,103.0625,298.125,-0.010852713178294615,16.209452481108986,0.25508837692462194,1.375,,,2.7692738686812737,118.975,,0.02300645203638707,,0.015988627015082413,1.0,,0.011627906976744207,1.0,,2.21875,119.625,63.00419632404708,58.53658536585366,-59.951325918755735,43.34295325389814,-29.064039408866996
2000-01-18,12490,,,,115.5625,119.75,116.0,7641699,-0.030302999999999997,115.375,116.25,1802604,119.6875,,-0.030302999999999997,101.65,101.43,101.86,101.38,111.25,102.125,308.25,-0.03080939947780681,15.8491305186184,-0.3603219624905858,-3.625,,,2.76787843363841,118.475,,-0.007119453785936702,,-0.022229126055338222,-1.0,,-0.030303030303030276,-1.0,,2.198295454545459,119.60485226294627,48.71213967842727,20.73170731707317,-57.792645325526784,41.87423431151963,-57.635467980295566
2000-01-19,12490,,,,112.6875,120.625,120.5,8557699,0.038793,115.375,116.0,1802604,115.5625,,0.038793,101.46,101.45,101.84,101.4,57.125,100.0625,303.75,0.042725797728501824,15.962341903571254,0.11321138495285332,4.5,,,2.7689250514328405,118.8,,0.028077271853143015,,0.007143065975755647,1.0,,0.0387931034482758,1.0,,1.7739583333333258,119.67568015232106,60.64647167190459,-30.208333333333332,-54.14265161283244,51.602130035586526,-22.167487684729064
2000-01-20,12490,,,,120.3125,124.75,121.875,17782384,0.011411,121.0,122.0,1802604,123.0,,0.011411,101.15,101.5,101.86,100.96,59.25,95.625,295.75,-0.009146341463414642,16.693718862301274,0.7313769587300207,1.375,,,2.780916547812456,119.25,,0.035820889094973385,,0.04581890070694383,1.0,,0.011410788381742698,1.0,,1.819711538461533,119.79608927721672,63.44545184268062,78.8135593220339,-50.61258918841065,47.25714707094603,-20.353982300884955
2000-01-21,12490,,,,119.9375,123.0,121.5,7868699,-0.003077,121.0,121.5,1802604,121.875,,-0.003077,101.51,101.1,101.86,101.05,59.6875,97.9375,303.5,-0.003076923076923088,15.878403295419398,-0.8153155668818766,-0.375,,,2.7799744686058427,119.9,,0.02956126010820581,,-0.04883966080937596,-1.0,,-0.003076923076923088,-1.0,54.599696174739236,2.1410714285714363,119.90933175211431,62.14722337392422,73.72881355932203,-47.69817443516209,47.4359321679749,-23.008849557522122
2000-01-24,12490,,,,116.5625,122.875,118.0,6495699,-0.028807,117.0,122.0,1802604,121.875,,-0.028807,101.96,102.07,102.27,101.87,54.1875,98.8125,318.0,-0.03179487179487184,15.6866508235432,-0.19175247187619782,-3.5,,,2.7734664045071606,119.575,,-8.846400975559554e-05,,-0.012076306937707892,-1.0,,-0.028806584362139898,-1.0,50.7421127813066,1.8624999999999972,119.8430636959045,51.54577571374394,27.966101694915253,-45.638798255063065,46.24791518431882,-47.78761061946903
2000-01-25,12490,,,,116.0,119.5,119.125,6937599,0.009534,119.125,119.75,1802604,116.75,,0.009534,102.15,101.7,102.35,101.75,56.4375,101.5625,313.0,0.020342612419700146,15.752466307205278,0.06581548366207812,1.125,,,2.772258432600668,120.2,,0.008654364671477843,,0.004195636430135874,1.0,,0.009533898305084776,1.0,50.60616643721743,1.880859375,119.83787599821821,54.247420160928854,-49.20634920634921,-43.53549142270911,49.80076315307148,-39.823008849557525
2000-01-26,12490,,,,116.0,119.9375,116.75,4895099,-0.019937,116.625,117.125,1802604,119.0625,,-0.019937,102.26,102.16,102.39,102.07,55.0625,96.5,324.0,-0.01942257217847765,15.403745058461332,-0.3487212487439457,-2.375,,,2.7652491577483014,119.45,,-0.01055441428737991,,-0.022137565124290326,-1.0,,-0.019937040923399763,-1.0,43.5957395050605,2.130147058823539,119.78782262351135,48.144483605786185,-49.20634920634921,-42.002955544112424,48.427625811310484,-56.63716814159292
2000-01-27,12490,,,,111.625,118.4375,113.5,8327599,-0.027837,113.375,113.75,1802604,118.0,,-0.027837,103.03,102.3,103.09,102.28,51.8125,98.125,348.625,-0.03813559322033899,15.935085737301131,0.5313406788397987,-3.25,,,2.7556504667905184,117.775,,-0.03528990874575866,,0.03449425297700137,1.0,,-0.027837259100642386,-1.0,43.62132715241945,0.7815972222222314,119.46738247344837,41.297653220063566,-160.31746031746033,-41.05383523560246,48.37581957474693,-79.64601769911505
2000-01-28,12490,,,,110.0625,114.1875,111.5625,6669500,-0.01707,110.375,112.0,1802604,112.75,,-0.01707,104.34,103.05,104.54,103.05,47.375,94.0,338.0,-0.010532150776053184,15.713055452563236,-0.22203028473789566,-1.9375,,,2.7535460991504226,115.7875,,-0.04812892942292035,,-0.013933422662305683,-1.0,,-0.017070484581497847,-1.0,43.7842771822341,-0.7986842105263179,119.02588095129931,37.84251036228916,-53.65853658536585,-40.45099330691728,40.60830651778544,-89.7872340425532
2000-01-31,12490,,,,109.625,112.8125,112.25,6147500,0.006162,112.0625,112.375,1802604,111.375,,0.006162,104.97,104.19,105.14,103.92,49.95313,98.9375,324.875,0.007856341189674598,15.631556053072485,-0.08149939949075069,0.6875,,,2.7528439280309307,114.6375,,-0.03937207187108427,0.8,-0.0051867314881433035,-1.0,,0.006162464985994376,1.0,36.83473453685527,-2.1937500000000085,118.56882174462268,39.768182206498814,-35.172413793103445,-39.747975985063086,43.11452927881466,-82.64462809917356
